dex_number,dex_number_int,species_display_name,form_display_name,form_api_name,is_default,types,hp,attack,defense,special_attack,special_defense,speed,abilities,move_count,height,weight,generation,is_legendary,is_mythical
0038,38,Ninetales,Ninetales Alola,ninetales-alola,False,ice|fairy,73,67,75,81,100,109,Snow Cloak|Snow Warning,94,11,199,generation-i,False,False
0039,39,Jigglypuff,Jigglypuff,jigglypuff,True,normal|fairy,115,45,20,45,25,20,Cute Charm|Competitive|Friend Guard,148,5,55,generation-i,False,False
0040,40,Wigglytuff,Wigglytuff,wigglytuff,True,normal|fairy,140,70,45,85,50,45,Cute Charm|Competitive|Frisk,153,10,120,generation-i,False,False
0041,41,Zubat,Zubat,zubat,True,poison|flying,40,45,35,30,40,55,Inner Focus|Infiltrator,83,8,75,generation-i,False,False
0042,42,Golbat,Golbat,golbat,True,poison|flying,75,80,70,65,75,90,Inner Focus|Infiltrator,84,16,550,generation-i,False,False
0043,43,Oddish,Oddish,oddish,True,grass|poison,45,50,55,75,65,30,Chlorophyll|Run Away,74,5,54,generation-i,False,False
0044,44,Gloom,Gloom,gloom,True,grass|poison,60,65,70,85,75,40,Chlorophyll|Stench,78,8,86,generation-i,False,False
0045,45,Vileplume,Vileplume,vileplume,True,grass|poison,75,80,85,110,90,50,Chlorophyll|Effect Spore,86,12,186,generation-i,False,False
0046,46,Paras,Paras,paras,True,bug|grass,35,70,55,45,55,25,Effect Spore|Dry Skin|Damp,87,3,54,generation-i,False,False
0047,47,Parasect,Parasect,parasect,True,bug|grass,60,95,80,60,80,30,Effect Spore|Dry Skin|Damp,80,10,295,generation-i,False,False
0048,48,Venonat,Venonat,venonat,True,bug|poison,60,55,50,40,55,45,Compound Eyes|Tinted Lens|Run Away,74,10,300,generation-i,False,False
0049,49,Venomoth,Venomoth,venomoth,True,bug|poison,70,65,60,90,75,90,Shield Dust|Tinted Lens|Wonder Skin,93,15,125,generation-i,False,False
0050,50,Diglett,Diglett,diglett,True,ground,10,55,25,35,45,95,Sand Veil|Arena Trap|Sand Force,82,2,8,generation-i,False,False
0050,50,Diglett,Diglett Alola,diglett-alola,False,ground|steel,10,55,30,35,45,90,Sand Veil|Tangling Hair|Sand Force,78,2,10,generation-i,False,False
0051,51,Dugtrio,Dugtrio,dugtrio,True,ground,35,100,50,50,70,120,Sand Veil|Arena Trap|Sand Force,83,7,333,generation-i,False,False
0051,51,Dugtrio,Dugtrio Alola,dugtrio-alola,False,ground|steel,35,100,60,50,70,110,Sand Veil|Tangling Hair|Sand Force,82,7,666,generation-i,False,False
0052,52,Meowth,Meowth,meowth,True,normal,40,45,35,40,40,90,Pickup|Technician|Unnerve,110,4,42,generation-i,False,False
0052,52,Meowth,Meowth Alola,meowth-alola,False,dark,40,35,35,50,40,90,Pickup|Technician|Rattled,94,4,42,generation-i,False,False
0052,52,Meowth,Meowth Galar,meowth-galar,False,steel,50,65,55,40,40,40,Pickup|Tough Claws|Unnerve,76,4,75,generation-i,False,False
0052,52,Meowth,Meowth Gmax,meowth-gmax,False,normal,40,45,35,40,40,90,Pickup|Technician|Unnerve,0,330,10000,generation-i,False,False
0053,53,Persian,Persian,persian,True,normal,65,70,60,65,65,115,Limber|Technician|Unnerve,110,10,320,generation-i,False,False
0053,53,Persian,Persian Alola,persian-alola,False,dark,65,60,60,75,65,115,Fur Coat|Technician|Rattled,97,11,330,generation-i,False,False
0054,54,Psyduck,Psyduck,psyduck,True,water,50,52,48,65,50,55,Damp|Cloud Nine|Swift Swim,120,8,196,generation-i,False,False
0055,55,Golduck,Golduck,golduck,True,water,80,82,78,95,80,85,Damp|Cloud Nine|Swift Swim,124,17,766,generation-i,False,False
0056,56,Mankey,Mankey,mankey,True,fighting,40,80,35,35,45,70,Vital Spirit|Anger Point|Defiant,118,5,280,generation-i,False,False
0057,57,Primeape,Primeape,primeape,True,fighting,65,105,60,60,70,95,Vital Spirit|Anger Point|Defiant,115,10,320,generation-i,False,False
0058,58,Growlithe,Growlithe,growlithe,True,fire,55,70,45,70,50,60,Intimidate|Flash Fire|Justified,81,7,190,generation-i,False,False
0058,58,Growlithe,Growlithe Hisui,growlithe-hisui,False,fire|rock,60,75,45,65,50,55,Intimidate|Flash Fire|Rock Head,61,8,227,generation-i,False,False
0059,59,Arcanine,Arcanine,arcanine,True,fire,90,110,80,100,80,95,Intimidate|Flash Fire|Justified,90,19,1550,generation-i,False,False
0059,59,Arcanine,Arcanine Hisui,arcanine-hisui,False,fire|rock,95,115,80,95,80,90,Intimidate|Flash Fire|Rock Head,68,20,1680,generation-i,False,False
0060,60,Poliwag,Poliwag,poliwag,True,water,40,50,40,40,40,90,Water Absorb|Damp|Swift Swim,77,6,124,generation-i,False,False
0061,61,Poliwhirl,Poliwhirl,poliwhirl,True,water,65,65,65,50,50,90,Water Absorb|Damp|Swift Swim,91,10,200,generation-i,False,False
0062,62,Poliwrath,Poliwrath,poliwrath,True,water|fighting,90,95,95,70,90,70,Water Absorb|Damp|Swift Swim,116,13,540,generation-i,False,False
0063,63,Abra,Abra,abra,True,psychic,25,20,15,105,55,90,Synchronize|Inner Focus|Magic Guard,96,9,195,generation-i,False,False
0064,64,Kadabra,Kadabra,kadabra,True,psychic,40,35,30,120,70,105,Synchronize|Inner Focus|Magic Guard,103,13,565,generation-i,False,False
0065,65,Alakazam,Alakazam,alakazam,True,psychic,55,50,45,135,95,120,Synchronize|Inner Focus|Magic Guard,111,15,480,generation-i,False,False
0065,65,Alakazam,Alakazam Mega,alakazam-mega,False,psychic,55,50,65,175,105,150,Trace,81,12,480,generation-i,False,False
0066,66,Machop,Machop,machop,True,fighting,70,80,50,35,35,35,Guts|No Guard|Steadfast,99,8,195,generation-i,False,False
0067,67,Machoke,Machoke,machoke,True,fighting,80,100,70,50,60,45,Guts|No Guard|Steadfast,94,15,705,generation-i,False,False
0068,68,Machamp,Machamp,machamp,True,fighting,90,130,80,65,85,55,Guts|No Guard|Steadfast,105,16,1300,generation-i,False,False
0068,68,Machamp,Machamp Gmax,machamp-gmax,False,fighting,90,130,80,65,85,55,Guts|No Guard|Steadfast,0,250,10000,generation-i,False,False
0069,69,Bellsprout,Bellsprout,bellsprout,True,grass|poison,50,75,35,70,30,40,Chlorophyll|Gluttony,80,7,40,generation-i,False,False
0070,70,Weepinbell,Weepinbell,weepinbell,True,grass|poison,65,90,50,85,45,55,Chlorophyll|Gluttony,83,10,64,generation-i,False,False
0071,71,Victreebel,Victreebel,victreebel,True,grass|poison,80,105,65,100,70,70,Chlorophyll|Gluttony,89,17,155,generation-i,False,False
0071,71,Victreebel,Victreebel Mega,victreebel-mega,False,grass|poison,80,125,85,135,95,70,Innards Out,0,45,1255,generation-i,False,False
0072,72,Tentacool,Tentacool,tentacool,True,water|poison,40,40,35,50,100,70,Clear Body|Liquid Ooze|Rain Dish,92,9,455,generation-i,False,False
0073,73,Tentacruel,Tentacruel,tentacruel,True,water|poison,80,70,65,80,120,100,Clear Body|Liquid Ooze|Rain Dish,100,16,550,generation-i,False,False
0074,74,Geodude,Geodude,geodude,True,rock|ground,40,80,100,30,30,20,Rock Head|Sturdy|Sand Veil,86,4,200,generation-i,False,False
0074,74,Geodude,Geodude Alola,geodude-alola,False,rock|electric,40,80,100,30,30,20,Magnet Pull|Sturdy|Galvanize,79,4,203,generation-i,False,False
0075,75,Graveler,Graveler,graveler,True,rock|ground,55,95,115,45,45,35,Rock Head|Sturdy|Sand Veil,90,10,1050,generation-i,False,False
0075,75,Graveler,Graveler Alola,graveler-alola,False,rock|electric,55,95,115,45,45,35,Magnet Pull|Sturdy|Galvanize,85,10,1100,generation-i,False,False
0076,76,Golem,Golem,golem,True,rock|ground,80,120,130,55,65,45,Rock Head|Sturdy|Sand Veil,96,14,3000,generation-i,False,False
0076,76,Golem,Golem Alola,golem-alola,False,rock|electric,80,120,130,55,65,45,Magnet Pull|Sturdy|Galvanize,93,17,3160,generation-i,False,False
0077,77,Ponyta,Ponyta,ponyta,True,fire,50,85,55,65,65,90,Run Away|Flash Fire|Flame Body,68,10,300,generation-i,False,False
0077,77,Ponyta,Ponyta Galar,ponyta-galar,False,psychic,50,85,55,65,65,90,Run Away|Pastel Veil|Anticipation,45,8,240,generation-i,False,False
0078,78,Rapidash,Rapidash,rapidash,True,fire,65,100,70,80,80,105,Run Away|Flash Fire|Flame Body,78,17,950,generation-i,False,False
0078,78,Rapidash,Rapidash Galar,rapidash-galar,False,psychic|fairy,65,100,70,80,80,105,Run Away|Pastel Veil|Anticipation,55,17,800,generation-i,False,False
0079,79,Slowpoke,Slowpoke,slowpoke,True,water|psychic,90,65,65,40,40,15,Oblivious|Own Tempo|Regenerator,114,12,360,generation-i,False,False
0079,79,Slowpoke,Slowpoke Galar,slowpoke-galar,False,psychic,90,65,65,40,40,15,Gluttony|Own Tempo|Regenerator,78,12,360,generation-i,False,False
0080,80,Slowbro,Slowbro,slowbro,True,water|psychic,95,75,110,100,80,30,Oblivious|Own Tempo|Regenerator,135,16,785,generation-i,False,False
0080,80,Slowbro,Slowbro Mega,slowbro-mega,False,water|psychic,95,75,180,130,80,30,Shell Armor,88,20,1200,generation-i,False,False
0080,80,Slowbro,Slowbro Galar,slowbro-galar,False,poison|psychic,95,100,95,100,70,30,Quick Draw|Own Tempo|Regenerator,107,16,705,generation-i,False,False
0081,81,Magnemite,Magnemite,magnemite,True,electric|steel,25,35,70,95,55,45,Magnet Pull|Sturdy|Analytic,74,3,60,generation-i,False,False
0082,82,Magneton,Magneton,magneton,True,electric|steel,50,60,95,120,70,70,Magnet Pull|Sturdy|Analytic,78,10,600,generation-i,False,False
0083,83,Farfetch'd,Farfetch'd,farfetchd,True,normal|flying,52,90,55,58,62,60,Keen Eye|Inner Focus|Defiant,95,8,150,generation-i,False,False
0083,83,Farfetch'd,Farfetchd Galar,farfetchd-galar,False,fighting,52,95,55,58,62,55,Steadfast|Scrappy,50,8,420,generation-i,False,False
0084,84,Doduo,Doduo,doduo,True,normal|flying,35,85,45,35,35,75,Run Away|Early Bird|Tangled Feet,78,14,392,generation-i,False,False
0085,85,Dodrio,Dodrio,dodrio,True,normal|flying,60,110,70,60,60,110,Run Away|Early Bird|Tangled Feet,86,18,852,generation-i,False,False
0086,86,Seel,Seel,seel,True,water,65,45,55,45,70,45,Thick Fat|Hydration|Ice Body,87,11,900,generation-i,False,False
0087,87,Dewgong,Dewgong,dewgong,True,water|ice,90,70,80,70,95,70,Thick Fat|Hydration|Ice Body,93,17,1200,generation-i,False,False
0088,88,Grimer,Grimer,grimer,True,poison,80,80,50,40,50,25,Stench|Sticky Hold|Poison Touch,94,9,300,generation-i,False,False
0088,88,Grimer,Grimer Alola,grimer-alola,False,poison|dark,80,80,50,40,50,25,Poison Touch|Gluttony|Power Of Alchemy,98,7,420,generation-i,False,False
0089,89,Muk,Muk,muk,True,poison,105,105,75,65,100,50,Stench|Sticky Hold|Poison Touch,103,12,300,generation-i,False,False
0089,89,Muk,Muk Alola,muk-alola,False,poison|dark,105,105,75,65,100,50,Poison Touch|Gluttony|Power Of Alchemy,97,10,520,generation-i,False,False
0090,90,Shellder,Shellder,shellder,True,water,30,65,100,45,25,40,Shell Armor|Skill Link|Overcoat,76,3,40,generation-i,False,False
0091,91,Cloyster,Cloyster,cloyster,True,water|ice,50,95,180,85,45,70,Shell Armor|Skill Link|Overcoat,88,15,1325,generation-i,False,False
0092,92,Gastly,Gastly,gastly,True,ghost|poison,30,35,30,100,35,80,Levitate,96,13,1,generation-i,False,False
0093,93,Haunter,Haunter,haunter,True,ghost|poison,45,50,45,115,55,95,Levitate,99,16,1,generation-i,False,False
0094,94,Gengar,Gengar,gengar,True,ghost|poison,60,65,60,130,75,110,Cursed Body,124,15,405,generation-i,False,False
0094,94,Gengar,Gengar Mega,gengar-mega,False,ghost|poison,60,65,80,170,95,130,Shadow Tag,87,14,405,generation-i,False,False
0094,94,Gengar,Gengar Gmax,gengar-gmax,False,ghost|poison,60,65,60,130,75,110,Cursed Body,0,200,10000,generation-i,False,False
0095,95,Onix,Onix,onix,True,rock|ground,35,45,160,30,45,70,Rock Head|Sturdy|Weak Armor,89,88,2100,generation-i,False,False
0096,96,Drowzee,Drowzee,drowzee,True,psychic,60,48,45,43,90,42,Insomnia|Forewarn|Inner Focus,115,10,324,generation-i,False,False
0097,97,Hypno,Hypno,hypno,True,psychic,85,73,70,73,115,67,Insomnia|Forewarn|Inner Focus,118,16,756,generation-i,False,False
0098,98,Krabby,Krabby,krabby,True,water,30,105,90,25,25,50,Hyper Cutter|Shell Armor|Sheer Force,82,4,65,generation-i,False,False
0099,99,Kingler,Kingler,kingler,True,water,55,130,115,50,50,75,Hyper Cutter|Shell Armor|Sheer Force,85,13,600,generation-i,False,False
0099,99,Kingler,Kingler Gmax,kingler-gmax,False,water,55,130,115,50,50,75,Hyper Cutter|Shell Armor|Sheer Force,0,190,10000,generation-i,False,False
0100,100,Voltorb,Voltorb,voltorb,True,electric,40,30,50,55,55,100,Soundproof|Static|Aftermath,68,5,104,generation-i,False,False
0100,100,Voltorb,Voltorb Hisui,voltorb-hisui,False,electric|grass,40,30,50,55,55,100,Soundproof|Static|Aftermath,50,5,130,generation-i,False,False
0101,101,Electrode,Electrode,electrode,True,electric,60,50,70,80,80,150,Soundproof|Static|Aftermath,73,12,666,generation-i,False,False
0101,101,Electrode,Electrode Hisui,electrode-hisui,False,electric|grass,60,50,70,80,80,150,Soundproof|Static|Aftermath,53,12,710,generation-i,False,False
0102,102,Exeggcute,Exeggcute,exeggcute,True,grass|psychic,60,40,80,60,45,40,Chlorophyll|Harvest,88,4,25,generation-i,False,False
0103,103,Exeggutor,Exeggutor,exeggutor,True,grass|psychic,95,95,85,125,75,55,Chlorophyll|Harvest,100,20,1200,generation-i,False,False
0103,103,Exeggutor,Exeggutor Alola,exeggutor-alola,False,grass|dragon,95,105,85,125,75,45,Frisk|Harvest,98,109,4156,generation-i,False,False
0104,104,Cubone,Cubone,cubone,True,ground,50,50,95,40,50,35,Rock Head|Lightning Rod|Battle Armor,96,4,65,generation-i,False,False
0105,105,Marowak,Marowak,marowak,True,ground,60,80,110,50,80,45,Rock Head|Lightning Rod|Battle Armor,99,10,450,generation-i,False,False
0105,105,Marowak,Marowak Alola,marowak-alola,False,fire|ghost,60,80,110,50,80,45,Cursed Body|Lightning Rod|Rock Head,97,10,340,generation-i,False,False
0105,105,Marowak,Marowak Totem,marowak-totem,False,fire|ghost,60,80,110,50,80,45,Cursed Body|Lightning Rod|Rock Head,79,17,980,generation-i,False,False
0106,106,Hitmonlee,Hitmonlee,hitmonlee,True,fighting,50,120,53,35,110,87,Limber|Reckless|Unburden,104,15,498,generation-i,False,False
0107,107,Hitmonchan,Hitmonchan,hitmonchan,True,fighting,50,105,79,35,110,76,Keen Eye|Iron Fist|Inner Focus,103,14,502,generation-i,False,False
0108,108,Lickitung,Lickitung,lickitung,True,normal,90,55,75,60,75,30,Own Tempo|Oblivious|Cloud Nine,117,12,655,generation-i,False,False
0109,109,Koffing,Koffing,koffing,True,poison,40,65,95,60,45,35,Levitate|Neutralizing Gas|Stench,79,6,10,generation-i,False,False
0110,110,Weezing,Weezing,weezing,True,poison,65,90,120,85,70,60,Levitate|Neutralizing Gas|Stench,78,12,95,generation-i,False,False
0110,110,Weezing,Weezing Galar,weezing-galar,False,poison|fairy,65,90,120,85,70,60,Levitate|Neutralizing Gas|Misty Surge,71,30,160,generation-i,False,False
0111,111,Rhyhorn,Rhyhorn,rhyhorn,True,ground|rock,80,85,95,30,30,25,Lightning Rod|Rock Head|Reckless,108,10,1150,generation-i,False,False
0112,112,Rhydon,Rhydon,rhydon,True,ground|rock,105,130,120,45,45,40,Lightning Rod|Rock Head|Reckless,137,19,1200,generation-i,False,False
0113,113,Chansey,Chansey,chansey,True,normal,250,5,5,35,105,50,Natural Cure|Serene Grace|Healer,144,11,346,generation-i,False,False
0114,114,Tangela,Tangela,tangela,True,grass,65,55,115,100,40,60,Chlorophyll|Leaf Guard|Regenerator,82,10,350,generation-i,False,False
0115,115,Kangaskhan,Kangaskhan,kangaskhan,True,normal,105,95,80,40,80,90,Early Bird|Scrappy|Inner Focus,122,22,800,generation-i,False,False
0115,115,Kangaskhan,Kangaskhan Mega,kangaskhan-mega,False,normal,105,125,100,60,100,100,Parental Bond,94,22,1000,generation-i,False,False
0116,116,Horsea,Horsea,horsea,True,water,30,40,70,70,25,60,Swift Swim|Sniper|Damp,72,4,80,generation-i,False,False
0117,117,Seadra,Seadra,seadra,True,water,55,65,95,95,45,85,Poison Point|Sniper|Damp,73,12,250,generation-i,False,False
0118,118,Goldeen,Goldeen,goldeen,True,water,45,67,60,35,50,63,Swift Swim|Water Veil|Lightning Rod,75,6,150,generation-i,False,False
0119,119,Seaking,Seaking,seaking,True,water,80,92,65,65,80,68,Swift Swim|Water Veil|Lightning Rod,74,13,390,generation-i,False,False
0120,120,Staryu,Staryu,staryu,True,water,30,45,55,70,55,85,Illuminate|Natural Cure|Analytic,79,8,345,generation-i,False,False
