display_name,species_display_name,form_display_name,dex_number,sprite_form,form_api_name,is_shiny,sprite_type,types,base_stats,original_filename,local_filename,local_path,source_page,image_url
Pidgeot,Pidgeot,Pidgeot,0018,,pidgeot,False,normal,normal|flying,"{""hp"": 83, ""attack"": 80, ""defense"": 75, ""special_attack"": 70, ""special_defense"": 70, ""speed"": 101}",Menu CP 0018.png,Menu_CP_0018.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0018.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0018.png,https://archives.bulbagarden.net/media/upload/7/7b/Menu_CP_0018.png
Arbok,Arbok,Arbok,0024,,arbok,False,normal,poison,"{""hp"": 60, ""attack"": 95, ""defense"": 69, ""special_attack"": 65, ""special_defense"": 79, ""speed"": 80}",Menu CP 0024.png,Menu_CP_0024.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0024.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0024.png,https://archives.bulbagarden.net/media/upload/3/32/Menu_CP_0024.png
Pikachu,Pikachu,Pikachu,0025,,pikachu,False,normal,electric,"{""hp"": 35, ""attack"": 55, ""defense"": 40, ""special_attack"": 50, ""special_defense"": 50, ""speed"": 90}",Menu CP 0025.png,Menu_CP_0025.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0025.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0025.png,https://archives.bulbagarden.net/media/upload/e/e9/Menu_CP_0025.png
Raichu Alola,Raichu,Raichu Alola,0026,Alola,raichu-alola,False,normal,electric|psychic,"{""hp"": 60, ""attack"": 85, ""defense"": 50, ""special_attack"": 95, ""special_defense"": 85, ""speed"": 110}",Menu CP 0026-Alola.png,Menu_CP_0026-Alola.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0026-Alola.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0026-Alola.png,https://archives.bulbagarden.net/media/upload/c/ca/Menu_CP_0026-Alola.png
Raichu,Raichu,Raichu,0026,,raichu,False,normal,electric,"{""hp"": 60, ""attack"": 90, ""defense"": 55, ""special_attack"": 90, ""special_defense"": 80, ""speed"": 110}",Menu CP 0026.png,Menu_CP_0026.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0026.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0026.png,https://archives.bulbagarden.net/media/upload/6/6e/Menu_CP_0026.png
Clefable Mega,Clefable,Clefable Mega,0036,Mega,clefable-mega,False,normal,fairy|flying,"{""hp"": 95, ""attack"": 80, ""defense"": 93, ""special_attack"": 135, ""special_defense"": 110, ""speed"": 70}",Menu CP 0036-Mega.png,Menu_CP_0036-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0036-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0036-Mega.png,https://archives.bulbagarden.net/media/upload/9/9a/Menu_CP_0036-Mega.png
Clefable,Clefable,Clefable,0036,,clefable,False,normal,fairy,"{""hp"": 95, ""attack"": 70, ""defense"": 73, ""special_attack"": 95, ""special_defense"": 90, ""speed"": 60}",Menu CP 0036.png,Menu_CP_0036.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0036.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0036.png,https://archives.bulbagarden.net/media/upload/2/29/Menu_CP_0036.png
Ninetales Alola,Ninetales,Ninetales Alola,0038,Alola,ninetales-alola,False,normal,ice|fairy,"{""hp"": 73, ""attack"": 67, ""defense"": 75, ""special_attack"": 81, ""special_defense"": 100, ""speed"": 109}",Menu CP 0038-Alola.png,Menu_CP_0038-Alola.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0038-Alola.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0038-Alola.png,https://archives.bulbagarden.net/media/upload/7/7f/Menu_CP_0038-Alola.png
Ninetales,Ninetales,Ninetales,0038,,ninetales,False,normal,fire,"{""hp"": 73, ""attack"": 76, ""defense"": 75, ""special_attack"": 81, ""special_defense"": 100, ""speed"": 100}",Menu CP 0038.png,Menu_CP_0038.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0038.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0038.png,https://archives.bulbagarden.net/media/upload/0/01/Menu_CP_0038.png
Arcanine Hisui,Arcanine,Arcanine Hisui,0059,Hisui,arcanine-hisui,False,normal,fire|rock,"{""hp"": 95, ""attack"": 115, ""defense"": 80, ""special_attack"": 95, ""special_defense"": 80, ""speed"": 90}",Menu CP 0059-Hisui.png,Menu_CP_0059-Hisui.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0059-Hisui.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0059-Hisui.png,https://archives.bulbagarden.net/media/upload/b/bd/Menu_CP_0059-Hisui.png
Arcanine,Arcanine,Arcanine,0059,,arcanine,False,normal,fire,"{""hp"": 90, ""attack"": 110, ""defense"": 80, ""special_attack"": 100, ""special_defense"": 80, ""speed"": 95}",Menu CP 0059.png,Menu_CP_0059.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0059.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0059.png,https://archives.bulbagarden.net/media/upload/b/b6/Menu_CP_0059.png
Alakazam Mega,Alakazam,Alakazam Mega,0065,Mega,alakazam-mega,False,normal,psychic,"{""hp"": 55, ""attack"": 50, ""defense"": 65, ""special_attack"": 175, ""special_defense"": 105, ""speed"": 150}",Menu CP 0065-Mega.png,Menu_CP_0065-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0065-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0065-Mega.png,https://archives.bulbagarden.net/media/upload/2/21/Menu_CP_0065-Mega.png
Alakazam,Alakazam,Alakazam,0065,,alakazam,False,normal,psychic,"{""hp"": 55, ""attack"": 50, ""defense"": 45, ""special_attack"": 135, ""special_defense"": 95, ""speed"": 120}",Menu CP 0065.png,Menu_CP_0065.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0065.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0065.png,https://archives.bulbagarden.net/media/upload/1/18/Menu_CP_0065.png
Machamp,Machamp,Machamp,0068,,machamp,False,normal,fighting,"{""hp"": 90, ""attack"": 130, ""defense"": 80, ""special_attack"": 65, ""special_defense"": 85, ""speed"": 55}",Menu CP 0068.png,Menu_CP_0068.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0068.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0068.png,https://archives.bulbagarden.net/media/upload/f/f3/Menu_CP_0068.png
Victreebel Mega,Victreebel,Victreebel Mega,0071,Mega,victreebel-mega,False,normal,grass|poison,"{""hp"": 80, ""attack"": 125, ""defense"": 85, ""special_attack"": 135, ""special_defense"": 95, ""speed"": 70}",Menu CP 0071-Mega.png,Menu_CP_0071-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0071-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0071-Mega.png,https://archives.bulbagarden.net/media/upload/a/a7/Menu_CP_0071-Mega.png
Victreebel,Victreebel,Victreebel,0071,,victreebel,False,normal,grass|poison,"{""hp"": 80, ""attack"": 105, ""defense"": 65, ""special_attack"": 100, ""special_defense"": 70, ""speed"": 70}",Menu CP 0071.png,Menu_CP_0071.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0071.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0071.png,https://archives.bulbagarden.net/media/upload/2/22/Menu_CP_0071.png
Slowbro Galar,Slowbro,Slowbro Galar,0080,Galar,slowbro-galar,False,normal,poison|psychic,"{""hp"": 95, ""attack"": 100, ""defense"": 95, ""special_attack"": 100, ""special_defense"": 70, ""speed"": 30}",Menu CP 0080-Galar.png,Menu_CP_0080-Galar.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0080-Galar.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0080-Galar.png,https://archives.bulbagarden.net/media/upload/8/8a/Menu_CP_0080-Galar.png
Slowbro Mega,Slowbro,Slowbro Mega,0080,Mega,slowbro-mega,False,normal,water|psychic,"{""hp"": 95, ""attack"": 75, ""defense"": 180, ""special_attack"": 130, ""special_defense"": 80, ""speed"": 30}",Menu CP 0080-Mega.png,Menu_CP_0080-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0080-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0080-Mega.png,https://archives.bulbagarden.net/media/upload/a/a4/Menu_CP_0080-Mega.png
Slowbro,Slowbro,Slowbro,0080,,slowbro,False,normal,water|psychic,"{""hp"": 95, ""attack"": 75, ""defense"": 110, ""special_attack"": 100, ""special_defense"": 80, ""speed"": 30}",Menu CP 0080.png,Menu_CP_0080.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0080.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0080.png,https://archives.bulbagarden.net/media/upload/5/5f/Menu_CP_0080.png
Gengar Mega,Gengar,Gengar Mega,0094,Mega,gengar-mega,False,normal,ghost|poison,"{""hp"": 60, ""attack"": 65, ""defense"": 80, ""special_attack"": 170, ""special_defense"": 95, ""speed"": 130}",Menu CP 0094-Mega.png,Menu_CP_0094-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0094-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0094-Mega.png,https://archives.bulbagarden.net/media/upload/1/1f/Menu_CP_0094-Mega.png
Gengar,Gengar,Gengar,0094,,gengar,False,normal,ghost|poison,"{""hp"": 60, ""attack"": 65, ""defense"": 60, ""special_attack"": 130, ""special_defense"": 75, ""speed"": 110}",Menu CP 0094.png,Menu_CP_0094.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0094.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0094.png,https://archives.bulbagarden.net/media/upload/c/cf/Menu_CP_0094.png
Kangaskhan Mega,Kangaskhan,Kangaskhan Mega,0115,Mega,kangaskhan-mega,False,normal,normal,"{""hp"": 105, ""attack"": 125, ""defense"": 100, ""special_attack"": 60, ""special_defense"": 100, ""speed"": 100}",Menu CP 0115-Mega.png,Menu_CP_0115-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0115-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0115-Mega.png,https://archives.bulbagarden.net/media/upload/6/6d/Menu_CP_0115-Mega.png
Kangaskhan,Kangaskhan,Kangaskhan,0115,,kangaskhan,False,normal,normal,"{""hp"": 105, ""attack"": 95, ""defense"": 80, ""special_attack"": 40, ""special_defense"": 80, ""speed"": 90}",Menu CP 0115.png,Menu_CP_0115.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0115.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0115.png,https://archives.bulbagarden.net/media/upload/8/84/Menu_CP_0115.png
Starmie Mega,Starmie,Starmie Mega,0121,Mega,starmie-mega,False,normal,water|psychic,"{""hp"": 60, ""attack"": 100, ""defense"": 105, ""special_attack"": 130, ""special_defense"": 105, ""speed"": 120}",Menu CP 0121-Mega.png,Menu_CP_0121-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0121-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0121-Mega.png,https://archives.bulbagarden.net/media/upload/2/26/Menu_CP_0121-Mega.png
Starmie,Starmie,Starmie,0121,,starmie,False,normal,water|psychic,"{""hp"": 60, ""attack"": 75, ""defense"": 85, ""special_attack"": 100, ""special_defense"": 85, ""speed"": 115}",Menu CP 0121.png,Menu_CP_0121.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0121.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0121.png,https://archives.bulbagarden.net/media/upload/3/34/Menu_CP_0121.png
Pinsir Mega,Pinsir,Pinsir Mega,0127,Mega,pinsir-mega,False,normal,bug|flying,"{""hp"": 65, ""attack"": 155, ""defense"": 120, ""special_attack"": 65, ""special_defense"": 90, ""speed"": 105}",Menu CP 0127-Mega.png,Menu_CP_0127-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0127-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0127-Mega.png,https://archives.bulbagarden.net/media/upload/d/df/Menu_CP_0127-Mega.png
Pinsir,Pinsir,Pinsir,0127,,pinsir,False,normal,bug,"{""hp"": 65, ""attack"": 125, ""defense"": 100, ""special_attack"": 55, ""special_defense"": 70, ""speed"": 85}",Menu CP 0127.png,Menu_CP_0127.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0127.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0127.png,https://archives.bulbagarden.net/media/upload/2/2b/Menu_CP_0127.png
Tauros Paldea Aqua Breed,Tauros,Tauros Paldea Aqua Breed,0128,Paldea Aqua,tauros-paldea-aqua-breed,False,normal,fighting|water,"{""hp"": 75, ""attack"": 110, ""defense"": 105, ""special_attack"": 30, ""special_defense"": 70, ""speed"": 100}",Menu CP 0128-Paldea Aqua.png,Menu_CP_0128-Paldea_Aqua.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0128-Paldea_Aqua.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0128-Paldea_Aqua.png,https://archives.bulbagarden.net/media/upload/7/72/Menu_CP_0128-Paldea_Aqua.png
Tauros Paldea Blaze Breed,Tauros,Tauros Paldea Blaze Breed,0128,Paldea Blaze,tauros-paldea-blaze-breed,False,normal,fighting|fire,"{""hp"": 75, ""attack"": 110, ""defense"": 105, ""special_attack"": 30, ""special_defense"": 70, ""speed"": 100}",Menu CP 0128-Paldea Blaze.png,Menu_CP_0128-Paldea_Blaze.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0128-Paldea_Blaze.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0128-Paldea_Blaze.png,https://archives.bulbagarden.net/media/upload/b/b4/Menu_CP_0128-Paldea_Blaze.png
Tauros Paldea Combat Breed,Tauros,Tauros Paldea Combat Breed,0128,Paldea Combat,tauros-paldea-combat-breed,False,normal,fighting,"{""hp"": 75, ""attack"": 110, ""defense"": 105, ""special_attack"": 30, ""special_defense"": 70, ""speed"": 100}",Menu CP 0128-Paldea Combat.png,Menu_CP_0128-Paldea_Combat.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0128-Paldea_Combat.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0128-Paldea_Combat.png,https://archives.bulbagarden.net/media/upload/0/09/Menu_CP_0128-Paldea_Combat.png
Tauros,Tauros,Tauros,0128,,tauros,False,normal,normal,"{""hp"": 75, ""attack"": 100, ""defense"": 95, ""special_attack"": 40, ""special_defense"": 70, ""speed"": 110}",Menu CP 0128.png,Menu_CP_0128.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0128.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0128.png,https://archives.bulbagarden.net/media/upload/9/98/Menu_CP_0128.png
Gyarados Mega,Gyarados,Gyarados Mega,0130,Mega,gyarados-mega,False,normal,water|dark,"{""hp"": 95, ""attack"": 155, ""defense"": 109, ""special_attack"": 70, ""special_defense"": 130, ""speed"": 81}",Menu CP 0130-Mega.png,Menu_CP_0130-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0130-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0130-Mega.png,https://archives.bulbagarden.net/media/upload/3/36/Menu_CP_0130-Mega.png
Gyarados,Gyarados,Gyarados,0130,,gyarados,False,normal,water|flying,"{""hp"": 95, ""attack"": 125, ""defense"": 79, ""special_attack"": 60, ""special_defense"": 100, ""speed"": 81}",Menu CP 0130.png,Menu_CP_0130.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0130.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0130.png,https://archives.bulbagarden.net/media/upload/9/97/Menu_CP_0130.png
Ditto,Ditto,Ditto,0132,,ditto,False,normal,normal,"{""hp"": 48, ""attack"": 48, ""defense"": 48, ""special_attack"": 48, ""special_defense"": 48, ""speed"": 48}",Menu CP 0132.png,Menu_CP_0132.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0132.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0132.png,https://archives.bulbagarden.net/media/upload/e/ea/Menu_CP_0132.png
Vaporeon,Vaporeon,Vaporeon,0134,,vaporeon,False,normal,water,"{""hp"": 130, ""attack"": 65, ""defense"": 60, ""special_attack"": 110, ""special_defense"": 95, ""speed"": 65}",Menu CP 0134.png,Menu_CP_0134.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0134.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0134.png,https://archives.bulbagarden.net/media/upload/c/c6/Menu_CP_0134.png
Jolteon,Jolteon,Jolteon,0135,,jolteon,False,normal,electric,"{""hp"": 65, ""attack"": 65, ""defense"": 60, ""special_attack"": 110, ""special_defense"": 95, ""speed"": 130}",Menu CP 0135.png,Menu_CP_0135.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0135.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0135.png,https://archives.bulbagarden.net/media/upload/e/ec/Menu_CP_0135.png
Flareon,Flareon,Flareon,0136,,flareon,False,normal,fire,"{""hp"": 65, ""attack"": 130, ""defense"": 60, ""special_attack"": 95, ""special_defense"": 110, ""speed"": 65}",Menu CP 0136.png,Menu_CP_0136.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0136.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0136.png,https://archives.bulbagarden.net/media/upload/c/c2/Menu_CP_0136.png
Aerodactyl Mega,Aerodactyl,Aerodactyl Mega,0142,Mega,aerodactyl-mega,False,normal,rock|flying,"{""hp"": 80, ""attack"": 135, ""defense"": 85, ""special_attack"": 70, ""special_defense"": 95, ""speed"": 150}",Menu CP 0142-Mega.png,Menu_CP_0142-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0142-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0142-Mega.png,https://archives.bulbagarden.net/media/upload/9/9f/Menu_CP_0142-Mega.png
Aerodactyl,Aerodactyl,Aerodactyl,0142,,aerodactyl,False,normal,rock|flying,"{""hp"": 80, ""attack"": 105, ""defense"": 65, ""special_attack"": 60, ""special_defense"": 75, ""speed"": 130}",Menu CP 0142.png,Menu_CP_0142.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0142.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0142.png,https://archives.bulbagarden.net/media/upload/0/05/Menu_CP_0142.png
Snorlax,Snorlax,Snorlax,0143,,snorlax,False,normal,normal,"{""hp"": 160, ""attack"": 110, ""defense"": 65, ""special_attack"": 65, ""special_defense"": 110, ""speed"": 30}",Menu CP 0143.png,Menu_CP_0143.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0143.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0143.png,https://archives.bulbagarden.net/media/upload/2/23/Menu_CP_0143.png
Dragonite Mega,Dragonite,Dragonite Mega,0149,Mega,dragonite-mega,False,normal,dragon|flying,"{""hp"": 91, ""attack"": 124, ""defense"": 115, ""special_attack"": 145, ""special_defense"": 125, ""speed"": 100}",Menu CP 0149-Mega.png,Menu_CP_0149-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0149-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0149-Mega.png,https://archives.bulbagarden.net/media/upload/7/79/Menu_CP_0149-Mega.png
Dragonite,Dragonite,Dragonite,0149,,dragonite,False,normal,dragon|flying,"{""hp"": 91, ""attack"": 134, ""defense"": 95, ""special_attack"": 100, ""special_defense"": 100, ""speed"": 80}",Menu CP 0149.png,Menu_CP_0149.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0149.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0149.png,https://archives.bulbagarden.net/media/upload/c/c6/Menu_CP_0149.png
